cycle,staked_tez,rewarded_tez,user,baker
815,4302.659238,4.272790,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
816,4308.161147,5.606102,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
817,4314.587572,5.092666,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
818,4318.848616,5.117727,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
819,4324.460803,5.082971,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
820,4329.559972,5.668160,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
821,4334.679944,4.300646,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
822,4339.763328,5.358653,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
823,4345.428128,4.173732,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
824,4349.725934,5.053637,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
825,4355.149741,6.255294,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
826,4359.384081,7.090064,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
827,4364.443510,6.687304,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
828,4370.481352,5.401266,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
829,4377.325568,5.106893,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
830,4384.056189,6.305454,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
